# Cluster;  Timestep;  Ref. Mol.
1;  3;  30
2;  17;  13
3;  22;  23
4;  26;  28
5;  162;  19
6;  207;  36
7;  308;  48
8;  447;  29
9;  566;  27
10;  605;  4
11;  711;  4
12;  818;  22
13;  916;  30
14;  956;  10
15;  965;  31
16;  1018;  33
17;  1034;  45
18;  1050;  25
19;  1063;  28
20;  1092;  48
21;  1297;  4
22;  1385;  8
23;  1460;  35
24;  1506;  2
25;  1534;  37
26;  1541;  37
27;  1632;  40
28;  1784;  6
29;  2005;  20
30;  2034;  46
31;  2258;  14
32;  2259;  42
33;  2284;  15
34;  2314;  7
35;  2440;  15
36;  2778;  36
37;  2837;  17
38;  2942;  17
39;  2956;  41
40;  2970;  9
41;  3122;  37
42;  3217;  3
43;  3220;  39
44;  3230;  10
45;  3365;  13
46;  3426;  16
47;  3498;  31
48;  3512;  18
49;  3606;  17
50;  3640;  34
51;  3650;  14
52;  3663;  13
53;  3683;  10
54;  3684;  21
55;  3738;  13
56;  3744;  40
57;  3806;  30
58;  3926;  20
59;  4046;  27
60;  4047;  16
61;  4116;  15
62;  4122;  21
63;  4256;  43
64;  4282;  26
65;  4371;  34
66;  4385;  27
67;  4498;  41
68;  4532;  46
69;  4571;  46
70;  4646;  24
71;  4697;  23
72;  4707;  31
73;  4748;  46
74;  4803;  7
75;  4808;  26
76;  4845;  45
77;  4880;  47
78;  4936;  28
79;  4953;  5
80;  4962;  21
81;  5015;  24
82;  5021;  3
83;  5354;  46
84;  5387;  40
85;  5423;  2
86;  5532;  8
87;  5624;  43
88;  5655;  2
89;  5664;  3
90;  5688;  45
91;  5746;  22
92;  5806;  14
93;  5840;  7
94;  5977;  33
95;  6008;  11
96;  6024;  20
97;  6074;  12
98;  6116;  32
99;  6122;  34
100;  6154;  39
